mc_percluster F1_percluster
0.0215052255421769 0.961126737762309
0.0573778294854612 0.966879416916665
-0.0171741653685384 0.968251739836746
-0.00614553035151167 0.95687484772192
0.000899342981575529 0.96006315405947
-0.00991306805900724 0.967310549777118
-0.00341962105726136 0.949019286679497
0.00136144100457822 0.952412047996082
0.0179956872210778 0.960879156463136
-0.0143060948390401 0.958672663182205
-0.0039454829642158 0.974509217737917
-3.15342088908938e-05 0.968298555377207
-0.0271190235950363 0.959582473601165
-0.00123059083984614 0.961964974650049
-0.00575987980787512 0.957490412515472
0.0262311798168722 0.964300121016539
-0.0173743296877658 0.950115464001798
-0.0183100735843386 0.953980175449309
0.0181993809791742 0.96345032190357
-0.0140320220202604 0.950752701350164
-0.00142151326235476 0.941887570912842
0.0166940006208966 0.957147211216093
-0.0172847109846845 0.963227289222209
0.0151689694267565 0.956532346602692
-0.00645489822178723 0.960603486631881
-0.0225792973281701 0.961050505050505
0.00948080153595395 0.958373904576436
-0.01489748131699 0.954506612410987
-0.00157564453826209 0.952505304390403
0.0275089474706021 0.960418101527367
